description,price,rating,review_count,url
womens Outdoor Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01080533QU9ZBNLRS818&url=%2FMochi-Womens-Outdoor-Sandals-4-34-9382%2Fdp%2FB084TJJQQ6%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019766%26sr%3D8-50-spons%26psc%3D1&qualifier=1620019766&id=6788821731735638&widgetName=sp_atf_next
Womens Fashion Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01146172MV0SZPW1CYKR&url=%2FMochi-Womens-Fashion-Sandals-4-33-9616%2Fdp%2FB084TGRWWN%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019766%26sr%3D8-51-spons%26psc%3D1&qualifier=1620019766&id=6788821731735638&widgetName=sp_atf_next
womens Outdoor Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A075235925BB6F6K9SKZ0&url=%2FMochi-Womens-Outdoor-Sandals-4-33-1058%2Fdp%2FB083NQNR77%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019766%26sr%3D8-52-spons%26psc%3D1&qualifier=1620019766&id=6788821731735638&widgetName=sp_atf_next
Women Synthetic Fashion Sandals (35-4515),,,,https://www.amazon.in/Mochi-Synthetic-Fashion-Sandals-35-4515-11-39/dp/B08RX446PW/ref=sr_1_53?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-53
Womens Footwear,,,,https://www.amazon.in/Mochi-Women-Synthetic-Sandals-33-725-24-40/dp/B07ZS72WSG/ref=sr_1_54?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-54
womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Womens-Comfort-Slipons-Antique/dp/B084TJQF7L/ref=sr_1_55?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-55
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Women-Synthetic-Sandals-44-72-11-40-BLACK/dp/B07MZ82H4Z/ref=sr_1_56?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-56
Women Synthetic Slippers (32-1245),,,,https://www.amazon.in/Mochi-Women-Synthetic-Sandals-32-1245-14-39/dp/B08XJLFKF7/ref=sr_1_57?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-57
Mens Slippers,,,,https://www.amazon.in/Mochi-Men-Maron-Leather-Sandals/dp/B08FBHQ2DL/ref=sr_1_58?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-58
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Leather-Fashion-Sandals-7-33-495/dp/B07S31Q388/ref=sr_1_59?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-59
